               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.029406,            0.043324,            0.003655,             0.99584,             0.99028,             0.99541,             0.72707,            0.020377,            0.024966,           0.0020322,           0.0082483,           0.0082483,           0.0082483
                  95,            0.026421,             0.03884,           0.0031547,             0.99474,              0.9948,             0.99556,             0.73873,             0.02044,            0.024366,           0.0018911,           0.0082136,           0.0082136,           0.0082136
                  96,            0.026654,             0.04041,            0.003035,             0.98854,             0.98645,             0.99508,             0.73171,            0.020689,            0.025173,           0.0022857,           0.0081786,           0.0081786,           0.0081786
                  97,            0.027566,            0.040959,           0.0030549,             0.99546,             0.99081,             0.99551,             0.68321,            0.021926,            0.024642,           0.0019307,           0.0081433,           0.0081433,           0.0081433
                  98,            0.028453,            0.042484,           0.0033854,             0.99393,             0.99687,             0.99564,             0.70678,            0.020227,            0.023795,           0.0017511,           0.0081078,           0.0081078,           0.0081078
                  99,            0.026751,            0.040159,           0.0032109,             0.98906,                   1,             0.99557,             0.71343,            0.021303,            0.024411,           0.0017601,           0.0080721,           0.0080721,           0.0080721
                 100,            0.026788,            0.040676,           0.0029976,             0.99494,             0.99419,             0.99568,             0.72673,            0.020453,            0.023846,           0.0020664,           0.0080362,           0.0080362,           0.0080362
                 101,            0.026132,            0.041869,           0.0032634,             0.99663,             0.99525,             0.99562,             0.71078,            0.019845,            0.024038,           0.0019809,               0.008,               0.008,               0.008
                 102,            0.025568,            0.039541,           0.0030072,             0.99523,              0.9939,             0.99556,             0.70546,             0.02431,            0.025574,           0.0019429,           0.0079636,           0.0079636,           0.0079636
                 103,            0.026501,            0.039324,           0.0027541,             0.96934,             0.96733,             0.99383,             0.71842,            0.019928,            0.025011,           0.0023132,            0.007927,            0.007927,            0.007927
                 104,            0.026689,            0.040576,           0.0026249,             0.98984,             0.99588,             0.99545,              0.7346,            0.019688,            0.024605,           0.0019391,           0.0078902,           0.0078902,           0.0078902
                 105,             0.02547,             0.04091,           0.0030404,             0.99608,             0.99382,             0.99555,             0.76323,            0.018836,            0.023748,           0.0021808,           0.0078532,           0.0078532,           0.0078532
                 106,            0.026675,            0.038827,           0.0032419,             0.99441,             0.98913,             0.99551,             0.71975,            0.021162,            0.024669,           0.0020076,            0.007816,            0.007816,            0.007816
                 107,             0.02475,            0.038151,           0.0029262,             0.99658,             0.98977,             0.99561,             0.76348,            0.019483,             0.02347,           0.0016908,           0.0077785,           0.0077785,           0.0077785
                 108,            0.026241,            0.040211,           0.0029083,             0.99506,              0.9867,             0.99549,             0.75745,            0.020422,            0.024125,            0.001862,           0.0077409,           0.0077409,           0.0077409
